name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url,address,source,clean_address,latitude,longitude
Motel One Amsterdam,105.0,1,3.0,8.6,12877.0,Double Room,Zuideramstel,3.8,https://www.booking.com/hotel/nl/motel-one-amsterdam-rai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=143840302_326843453_2_2_0&highlighted_blocks=143840302_326843453_2_2_0&matching_block_id=143840302_326843453_2_2_0&sr_pri_blocks=143840302_326843453_2_2_0__73457&from_sustainable_property_sr=1&from=searchresults,"Europaboulevard 23, Zuideramstel, 1079 PC Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Europaboulevard 23, 1079 PC Amsterdam, Netherlands",52.3386013,4.892892
Mercure Amsterdam City Hotel,104.43,1,4.0,8.3,3964.0,Classic Double Room,Oost,4.4,https://www.booking.com/hotel/nl/mercure-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1011819_95128006_2_42_0&highlighted_blocks=1011819_95128006_2_42_0&matching_block_id=1011819_95128006_2_42_0&sr_pri_blocks=1011819_95128006_2_42_0__73050&from_sustainable_property_sr=1&from=searchresults,"Joan Muyskenweg 10, Oost, 1096 CJ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Joan Muyskenweg 10, 1096 CJ Amsterdam, Netherlands",52.3352478,4.9135808
Hampton By Hilton Amsterdam Arena Boulevard,93.71,1,3.0,8.1,13227.0,Twin Room,Zuidoost,7.6,https://www.booking.com/hotel/nl/hampton-by-hilton-amsterdam-arena-boulevard.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=54570803_94489773_2_1_0_928966&highlighted_blocks=54570803_94489773_2_1_0_928966&matching_block_id=54570803_94489773_2_1_0_928966&sr_pri_blocks=54570803_94489773_2_1_0_928966_65551&from_sustainable_property_sr=1&from=searchresults,"Hoekenrode 1, Zuidoost, 1102 BR Amsterdam, Netherlands
location — rated 9.1/10!",booking,"Hoekenrode 1, 1102 BR Amsterdam, Netherlands",52.3129926,4.9477483
Citadines Canal Amsterdam,175.0,1,4.0,8.8,1586.0,Classic Room,Amsterdam City Centre,1.3,https://www.booking.com/hotel/nl/citadines-canal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=937191701_365912827_2_2_0_246195&highlighted_blocks=937191701_365912827_2_2_0_246195&matching_block_id=937191701_365912827_2_2_0_246195&sr_pri_blocks=937191701_365912827_2_2_0_246195_122503&from_sustainable_property_sr=1&from=searchresults,"46 Noorderstraat, Amsterdam City Centre, 1017 TV Amsterdam, Netherlands
location — rated 9.3/10!",booking,"46 Noorderstraat, 1017 TV Amsterdam, Netherlands",52.3611838,4.8936467
Chassé Hotel Residency,129.57,1,4.0,8.9,3587.0,Boutique style - Stairs only,Oost,3.2,https://www.booking.com/hotel/nl/chasse-residency-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1001450707_377100347_0_2_0&highlighted_blocks=1001450707_377100347_0_2_0&matching_block_id=1001450707_377100347_0_2_0&sr_pri_blocks=1001450707_377100347_0_2_0__90694&from=searchresults,"58 James Wattstraat, Oost, 1097 DM Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"58 James Wattstraat, 1097 DM Amsterdam, Netherlands",52.3517384,4.9244717
The Alfred Hotel,94.57,1,3.0,7.7,6168.0,Twin Room-Souterrain,Oud Zuid,2.6,https://www.booking.com/hotel/nl/the-alfred.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=186743306_92093121_0_2_0&highlighted_blocks=186743306_92093121_0_2_0&matching_block_id=186743306_92093121_0_2_0&sr_pri_blocks=186743306_92093121_0_2_0__66159&from=searchresults,"Cornelis Schuytstraat 58-60, Oud Zuid, 1071 JL Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Cornelis Schuytstraat 58-60, 1071 JL Amsterdam, Netherlands",52.3534673,4.8720837
Pestana Amsterdam Riverside,190.86,1,5.0,8.5,3887.0,Classic Studio,De Pijp,2.4,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=275193011_417187573_0_34_0_665536&highlighted_blocks=275193011_417187573_0_34_0_665536&matching_block_id=275193011_417187573_0_34_0_665536&sr_pri_blocks=275193011_417187573_0_34_0_665536_133586&from_sustainable_property_sr=1&from=searchresults,"Amsteldijk 67, 1074 HZ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Amsteldijk 67, 1074 HZ Amsterdam, Netherlands",52.3533681,4.9071493
WestCord Art Hotel Amsterdam 3 stars,83.14,1,3.0,8.7,3119.0,Superior Double or Twin Room,Westerpark,2.8,https://www.booking.com/hotel/nl/westcord-art-hotel-amsterdam-3-stars.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=27&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=1055409_95129079_2_2_0&highlighted_blocks=1055409_95129079_2_2_0&matching_block_id=1055409_95129079_2_2_0&sr_pri_blocks=1055409_95129079_2_2_0__58203&from_sustainable_property_sr=1&from=searchresults,"Spaarndammerdijk 302, Westerpark, 1013 ZX Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Spaarndammerdijk 302, 1013 ZX Amsterdam, Netherlands",52.3928312,4.8688353
Leonardo Royal Hotel Amsterdam,94.86,1,4.0,8.5,9409.0,Queen Room - Disability Access,Oost,4.8,https://www.booking.com/hotel/nl/leonardo-royal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=28&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=451869916_137008629_2_2_0&highlighted_blocks=451869916_137008629_2_2_0&matching_block_id=451869916_137008629_2_2_0&sr_pri_blocks=451869916_137008629_2_2_0__66350&from_sustainable_property_sr=1&from=searchresults,"Paul van Vlissingenstraat 24, Oost, 1096 BK Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Paul van Vlissingenstraat 24, 1096 BK Amsterdam, Netherlands",52.3328669,4.9176608
Leonardo Hotel Amsterdam Rembrandtpark,101.71,1,4.0,8.3,8073.0,Comfort Queen Room,Slotervaart,3.4,https://www.booking.com/hotel/nl/leonardo-hotel-amsterdam-rembrandtpark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=29&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=39714812_91474090_2_42_0&highlighted_blocks=39714812_91474090_2_42_0&matching_block_id=39714812_91474090_2_42_0&sr_pri_blocks=39714812_91474090_2_42_0__71161&from_sustainable_property_sr=1&from=searchresults,"Staalmeesterslaan 410, Slotervaart, 1057 PH Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Staalmeesterslaan 410, 1057 PH Amsterdam, Netherlands",52.3681503,4.8442021
WestCord Fashion Hotel Amsterdam,117.14,1,4.0,8.6,4058.0,Superior Double or Twin Room,Slotervaart,3.7,https://www.booking.com/hotel/nl/westcord-fashion-hotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=30&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=1848823_95143310_2_2_0&highlighted_blocks=1848823_95143310_2_2_0&matching_block_id=1848823_95143310_2_2_0&sr_pri_blocks=1848823_95143310_2_2_0__82047&from_sustainable_property_sr=1&from=searchresults,"Hendrikje Stoffelstraat 1, Slotervaart, 1058 GC Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Hendrikje Stoffelstraat 1, 1058 GC Amsterdam, Netherlands",,
Hotel 717,268.43,1,5.0,8.9,1473.0,Small Double Room (Little Prince - Courtyard View),Amsterdam City Centre,1.0,https://www.booking.com/hotel/nl/prinsen-suites.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=31&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=833624705_348647253_0_0_0&highlighted_blocks=833624705_348647253_0_0_0&matching_block_id=833624705_348647253_0_0_0&sr_pri_blocks=833624705_348647253_0_0_0__187919&from=searchresults,"717 Prinsengracht ground floor, Amsterdam City Centre, 1017 JW Amsterdam, Netherlands
location — rated 9.7/10!",booking,"717 Prinsengracht ground floor, 1017 JW Amsterdam, Netherlands",,
Mercure Amsterdam North Station,119.71,1,4.0,9.0,4671.0,Standard Double Room,Amsterdam Noord,4.2,https://www.booking.com/hotel/nl/mercure-amsterdam-north-station.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=32&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=783584603_337830998_2_2_0_635836&highlighted_blocks=783584603_337830998_2_2_0_635836&matching_block_id=783584603_337830998_2_2_0_635836&sr_pri_blocks=783584603_337830998_2_2_0_635836_83774&from_sustainable_property_sr=1&from=searchresults,"Termini 11, Amsterdam Noord, 1022LB Amsterdam, Netherlands
location — rated 9.1/10!",booking,"Termini 11, 1022LB Amsterdam, Netherlands",52.4024394,4.9312307
