name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url,address
nhow Amsterdam Rai,1217,1,4.0,9.0,10727.0,nhow Double or Twin Room with View,Zuideramstel,3.8,https://www.booking.com/hotel/nl/nhow-amsterdam-rai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=61&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=495861603_166687228_0_34_0&highlighted_blocks=495861603_166687228_0_34_0&matching_block_id=495861603_166687228_0_34_0&sr_pri_blocks=495861603_166687228_0_34_0__121723&from_sustainable_property_sr=1&from=searchresults,"Europaboulevard 2B, Zuideramstel, 1078 RV Amsterdam, Netherlands
location — rated 9.1/10!"
Inntel Hotels Amsterdam Centre,1311,1,4.0,8.2,5394.0,City Twin,Amsterdam City Centre,400.0,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=62&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1008729_0_2_0_0&highlighted_blocks=1008729_0_2_0_0&matching_block_id=1008729_0_2_0_0&sr_pri_blocks=1008729_0_2_0_0__131122&from=searchresults,"Nieuwezijdskolk 19, Amsterdam City Centre, 1012 PV Amsterdam, Netherlands
location — rated 9.4/10!"
Courtyard by Marriott Amsterdam Arena Atlas,729,1,4.0,8.5,3418.0,"Standard King Room, Guest room, 1 King",Zuidoost,7.9,https://www.booking.com/hotel/nl/courtyard-by-marriott-amsterdam-arena-atlas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=63&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=131864801_94588089_0_34_0_749417&highlighted_blocks=131864801_94588089_0_34_0_749417&matching_block_id=131864801_94588089_0_34_0_749417&sr_pri_blocks=131864801_94588089_0_34_0_749417_72900&from=searchresults,"Hoogoorddreef 1, Zuidoost, 1101 BA Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
ibis Amsterdam Centre Stopera,957,1,3.0,7.9,3735.0,Standard Double Room,Amsterdam City Centre,1.0,https://www.booking.com/hotel/nl/ibisstopera.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=64&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1042314_95453826_2_2_0&highlighted_blocks=1042314_95453826_2_2_0&matching_block_id=1042314_95453826_2_2_0&sr_pri_blocks=1042314_95453826_2_2_0__95661&from_sustainable_property_sr=1&from=searchresults,"Valkenburgerstraat 68, Amsterdam City Centre, 1011 LZ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
NH Collection Amsterdam Flower Market,1504,1,4.0,8.6,6108.0,Superior Double or Twin Room,Amsterdam City Centre,0.7,https://www.booking.com/hotel/nl/nhcollection-amsterdam-flower-market.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=65&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1043811_95128774_0_2_0&highlighted_blocks=1043811_95128774_0_2_0&matching_block_id=1043811_95128774_0_2_0&sr_pri_blocks=1043811_95128774_0_2_0__150370&from_sustainable_property_sr=1&from=searchresults,"Vijzelstraat 4, Amsterdam City Centre, 1017 HK Amsterdam, Netherlands
location — rated 9.5/10!"
Leonardo Hotel Amsterdam Leidse Square,969,1,3.0,8.2,1861.0,Comfort Room 1 Double Bed,Oud-West,1.4,https://www.booking.com/hotel/nl/the-ed-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=66&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=471957502_146719308_0_2_0_594340&highlighted_blocks=471957502_146719308_0_2_0_594340&matching_block_id=471957502_146719308_0_2_0_594340&sr_pri_blocks=471957502_146719308_0_2_0_594340_96879&from_sustainable_property_sr=1&from=searchresults,"387 Nassaukade, Oud-West, 1054 AE Amsterdam, Netherlands
location — rated 9.3/10!"
Hotel Jansen Amsterdam Bajeskwartier,647,1,,8.4,3934.0,Deluxe Queen Room,Oost,4.2,https://www.booking.com/hotel/nl/jansen-bajeskwartier.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=67&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=936796601_365834257_2_0_0&highlighted_blocks=936796601_365834257_2_0_0&matching_block_id=936796601_365834257_2_0_0&sr_pri_blocks=936796601_365834257_2_0_0__64667&from=searchresults,"Bijdorpplantsoen 10, Oost, 1096 DC Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
ibis Styles Amsterdam Amstel,826,1,3.0,8.0,2186.0,Souterrain Twin Room,De Pijp,1.7,https://www.booking.com/hotel/nl/hotel-linda.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=68&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1145015_95134161_2_2_0_635886&highlighted_blocks=1145015_95134161_2_2_0_635886&matching_block_id=1145015_95134161_2_2_0_635886&sr_pri_blocks=1145015_95134161_2_2_0_635886_82598&from=searchresults,"HemonyLaan 12a, 1074 BG Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Hotel Allure,4346,1,3.0,7.5,2423.0,Budget Double Room - Souterain,Amsterdam City Centre,1.7,https://www.booking.com/hotel/nl/allure.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=69&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=2388318_95147767_0_2_0&highlighted_blocks=2388318_95147767_0_2_0&matching_block_id=2388318_95147767_0_2_0&sr_pri_blocks=2388318_95147767_0_2_0__434565&from=searchresults,"Sarphatistraat 117, Amsterdam City Centre, 1018 GB Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Apple Inn Hotel,761,1,3.0,7.3,1731.0,Twin Room,Oud Zuid,2.8,https://www.booking.com/hotel/nl/appleinnhoteladam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=70&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1105505_0_2_0_0&highlighted_blocks=1105505_0_2_0_0&matching_block_id=1105505_0_2_0_0&sr_pri_blocks=1105505_0_2_0_0__76067&from=searchresults,"Koninginneweg 93, Oud Zuid, 1075 CJ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Hotel Mosaic City Centre,2029,1,3.0,7.5,5489.0,Extra Small Twin Room,Oud-West,1.6,https://www.booking.com/hotel/nl/hotel-mosaic.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=71&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=37429203_91924930_0_0_0&highlighted_blocks=37429203_91924930_0_0_0&matching_block_id=37429203_91924930_0_0_0&sr_pri_blocks=37429203_91924930_0_0_0__202872&from=searchresults,"Eerste Constantijn Huygensstraat 16a, Oud-West, 1054 BR Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Mövenpick Hotel Amsterdam City Centre,944,1,4.0,8.5,6350.0,Classic Twin Room,Zeeburg,1.5,https://www.booking.com/hotel/nl/moevenpick-amsterdam-city-centre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=72&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1152443_95134274_2_2_0&highlighted_blocks=1152443_95134274_2_2_0&matching_block_id=1152443_95134274_2_2_0&sr_pri_blocks=1152443_95134274_2_2_0__94413&from_sustainable_property_sr=1&from=searchresults,"Piet Heinkade 11, Zeeburg, 1019 BR Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Holiday Inn Amsterdam - Arena Towers by IHG,626,1,4.0,8.1,4203.0,Standard Room with Two Single Beds,Zuidoost,7.8,https://www.booking.com/hotel/nl/holiday-inn-amsterdam-arena-towers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=73&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=105604405_94580178_2_42_0&highlighted_blocks=105604405_94580178_2_42_0&matching_block_id=105604405_94580178_2_42_0&sr_pri_blocks=105604405_94580178_2_42_0__62594&from_sustainable_property_sr=1&from=searchresults,"Hoogoorddreef 66, Zuidoost, 1101 BE Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Damrak Short Stay Amsterdam,3550,1,4.0,8.4,123.0,Deluxe Apartment,Amsterdam City Centre,400.0,https://www.booking.com/hotel/nl/damrak-short-stay-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=74&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=571358502_357663350_0_0_0&highlighted_blocks=571358502_357663350_0_0_0&matching_block_id=571358502_357663350_0_0_0&sr_pri_blocks=571358502_357663350_0_0_0__354980&from=searchresults,"35-36 Damrak, Amsterdam City Centre, 1012 LK Amsterdam, Netherlands
location — rated 9.5/10!"
The Old Nickel Hotel,957,1,1.0,7.3,3328.0,Double Room with Private Bathroom,Amsterdam City Centre,0.6,https://www.booking.com/hotel/nl/oldnickeladam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=75&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=1104602_95129890_0_0_0&highlighted_blocks=1104602_95129890_0_0_0&matching_block_id=1104602_95129890_0_0_0&sr_pri_blocks=1104602_95129890_0_0_0__95708&from=searchresults,"Nieuwe Brugsteeg 11, Amsterdam City Centre, 1012 AG Amsterdam, Netherlands
location — rated 9.2/10!"
Conscious Hotel Vondelpark,731,1,3.0,8.5,2175.0,Twin Room,Oud-West,3.0,https://www.booking.com/hotel/nl/conscious-vondelpark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=76&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682101&all_sr_blocks=25418704_91468978_0_2_0&highlighted_blocks=25418704_91468978_0_2_0&matching_block_id=25418704_91468978_0_2_0&sr_pri_blocks=25418704_91468978_0_2_0__73071&from_sustainable_property_sr=1&from=searchresults,"Overtoom 519-521, Oud-West, 1054 LH Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Cityden BoLo District,790,1,4.0,8.5,5128.0,Studio,Bos en Lommer,3.3,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=77&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=583969601_228114113_2_2_0_644467&highlighted_blocks=583969601_228114113_2_2_0_644467&matching_block_id=583969601_228114113_2_2_0_644467&sr_pri_blocks=583969601_228114113_2_2_0_644467_78954&from=searchresults,"Bos en Lommerplantsoen 45a, Bos en Lommer, 1055 AA Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Boutique Hotel Oosteinde,944,1,3.0,8.4,1268.0,Semi Souterrain Double Room Airco,Amsterdam City Centre,1.6,https://www.booking.com/hotel/nl/ph-oosteinde.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=78&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=127013229_85227068_0_0_0&highlighted_blocks=127013229_85227068_0_0_0&matching_block_id=127013229_85227068_0_0_0&sr_pri_blocks=127013229_85227068_0_0_0__94363&from=searchresults,"Oosteinde 15-17, Amsterdam City Centre, 1017 WT Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Clayton Hotel Amsterdam American,1528,1,4.0,8.5,4610.0,Deluxe Double Room,Amsterdam City Centre,1.3,https://www.booking.com/hotel/nl/clayton-hotel-amsterdam-american.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=79&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=573758904_221157902_2_2_0&highlighted_blocks=573758904_221157902_2_2_0&matching_block_id=573758904_221157902_2_2_0&sr_pri_blocks=573758904_221157902_2_2_0__152828&from_sustainable_property_sr=1&from=searchresults,"Leidsekade 97a, Amsterdam City Centre, 1017 PN Amsterdam, Netherlands
location — rated 9.6/10!"
Amsterdam Wiechmann Hotel,1072,1,2.0,8.3,4684.0,Twin Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/amsterdam-wiechmann.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=80&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=4819602_91901910_0_1_0&highlighted_blocks=4819602_91901910_0_1_0&matching_block_id=4819602_91901910_0_1_0&sr_pri_blocks=4819602_91901910_0_1_0__107238&from=searchresults,"Prinsengracht 328 - 332, Amsterdam City Centre, 1016 HX Amsterdam, Netherlands
location — rated 9.5/10!"
Hotel Library Amsterdam,878,1,3.0,8.1,3828.0,Basement Double Room Limited View,Amsterdam City Centre,0.9,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=81&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=149175309_88534054_0_0_0&highlighted_blocks=149175309_88534054_0_0_0&matching_block_id=149175309_88534054_0_0_0&sr_pri_blocks=149175309_88534054_0_0_0__87793&from_sustainable_property_sr=1&from=searchresults,"Prins Hendrikkade 144-145, Amsterdam City Centre, 1011 AT Amsterdam, Netherlands
location — rated 9.1/10!"
Eden Hotel Amsterdam,1227,1,4.0,8.1,10006.0,Standard Double Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/eden-hotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=82&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=1131802_0_2_0_0&highlighted_blocks=1131802_0_2_0_0&matching_block_id=1131802_0_2_0_0&sr_pri_blocks=1131802_0_2_0_0__122695&from=searchresults,"Amstel 144, Amsterdam City Centre, 1017 DA Amsterdam, Netherlands
location — rated 9.3/10!"
City Hotel Amsterdam,1258,1,3.0,8.0,3874.0,Basement Twin Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/cityhotelams.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=83&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=1081711_95129484_2_1_0&highlighted_blocks=1081711_95129484_2_1_0&matching_block_id=1081711_95129484_2_1_0&sr_pri_blocks=1081711_95129484_2_1_0__125817&from=searchresults,"Prins Hendrikkade 130, Amsterdam City Centre, 1011 AP Amsterdam, Netherlands
location — rated 9.2/10!"
Moxy Amsterdam Houthavens,811,1,4.0,8.2,2276.0,Double Room - Moxy Sleeper Queen,Westpoort,3.4,https://www.booking.com/hotel/nl/moxy-by-marriott-amsterdam-houthavens.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=84&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=291224301_109119452_0_2_0&highlighted_blocks=291224301_109119452_0_2_0&matching_block_id=291224301_109119452_0_2_0&sr_pri_blocks=291224301_109119452_0_2_0__81082&from=searchresults,"Danzigerkade 175, Westpoort, 1013 AP Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Alp Hotel,681,1,2.0,8.9,1614.0,Small Twin Room,Oud-West,1.6,https://www.booking.com/hotel/nl/alp.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=85&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682118&all_sr_blocks=1433701_95138915_0_0_0&highlighted_blocks=1433701_95138915_0_0_0&matching_block_id=1433701_95138915_0_0_0&sr_pri_blocks=1433701_95138915_0_0_0__68114&from=searchresults,"De Clercqstraat 52, Oud-West, 1052 NH Amsterdam, Netherlands
location — rated 9/10!"
